indice_tiempo,region_de_destino,origen_pernoctes,pernoctes,observaciones
2010-06-01,Norte,No residentes,24514,""
2010-06-01,Patagonia,Residentes,231767,""
2010-06-01,Patagonia,No residentes,93469,""
2010-07-01,Buenos Aires,Residentes,345721,""
2010-07-01,Buenos Aires,No residentes,3233,""
2010-07-01,CABA,Residentes,490552,""
2010-07-01,CABA,No residentes,630450,""
2010-07-01,Cuyo,Residentes,354558,""
2010-07-01,Cuyo,No residentes,56550,""
2010-07-01,Córdoba,Residentes,484669,""
2010-07-01,Córdoba,No residentes,16483,""
2010-07-01,Litoral,Residentes,424165,""
2010-07-01,Litoral,No residentes,49288,""
2010-07-01,Norte,Residentes,465176,""
2010-07-01,Norte,No residentes,31044,""
2010-07-01,Patagonia,Residentes,572866,""
2010-07-01,Patagonia,No residentes,335788,""
2010-08-01,Buenos Aires,Residentes,260999,""
2010-08-01,Buenos Aires,No residentes,3816,""
2010-08-01,CABA,Residentes,435868,""
2010-08-01,CABA,No residentes,537277,""
2010-08-01,Cuyo,Residentes,275411,""
